number,value,ELITE_SIZE,POP_SIZE,P_CROSSOVER_MAX,P_CROSSOVER_MIN,crossover_type,k,mutation_rate,rosenbrock_mean,salomon_mean,whitley_mean
1419,29.41247004938185,2,26,0.7924948703281626,0.25667947293303806,one_point,2,0.009823790658286466,28.848375792522432,0.3198733461799705,59.06916100944314
1182,29.420466545069,2,26,0.7775134039032572,0.25558585046635385,one_point,4,0.005842247723138768,13.86157403353152,0.37987334624814745,74.01995225542733
1011,29.427966468930673,4,26,0.8228205487559305,0.2759532052850559,one_point,5,0.01714370586661712,28.635096294641322,0.2798733553047571,59.368929756845944
1411,29.506717590768556,2,26,0.7911650197368291,0.2738866083695834,one_point,2,0.01006028060613182,13.651194626725177,0.25987334612668866,74.6090847994538
630,29.57006588892882,4,22,0.7833097973574281,0.13808517215878455,two_point,3,0.010488962123442889,30.123958166809853,0.3198733459604893,58.26636615401611
1206,29.609616803494475,6,26,0.7892905202688624,0.2617104085700505,one_point,4,0.01174510357476664,34.77069063491218,0.29987334597492227,53.75828642959633
368,29.757513972162617,0,26,0.7974268182756921,0.14475280850955946,uniform,2,0.007512598445317991,28.782448894027624,0.29987334723329195,60.19021967522694
1248,29.785453667416704,2,26,0.8119632359799377,0.2871760271478145,two_point,2,0.010798815741356422,39.46894730865087,0.2998733475713997,49.58754034602785
771,29.862021620363876,0,30,0.8109349625713218,0.14188038338102227,one_point,4,0.00922775461357897,28.77064149940103,0.2998733459552631,60.515550015735336
152,29.950358896532197,2,24,0.8003376782663523,0.23018124631726045,two_point,3,0.01667378185908864,17.829257486228546,0.2998733521190378,71.72194585124902
864,29.997847727660204,2,26,0.8319534424058636,0.2741233466690227,one_point,2,0.0030057075001699483,13.760967940195929,0.43987334589608523,75.7927018968886
683,30.070608870210993,0,24,0.7737185045398401,0.14672900863857563,two_point,3,0.008871142564357844,31.567031468923034,0.2998733460633685,58.344921795646584
1436,30.081674164673444,2,26,0.7819788632101536,0.2637571696838026,one_point,2,0.014219837479637197,14.809894068133811,0.27987335026474225,75.15525507562178
463,30.083213417583725,2,26,0.855747671096424,0.2667471421710694,uniform,2,0.007727962316637236,14.034917840020587,0.299873346272724,75.91484906645786
412,30.110082606090597,4,30,0.8095786973244483,0.2642981205245091,one_point,3,0.012683333635211748,17.84699997853847,0.25987334823318153,72.22337449150014
1135,30.202504779042414,2,26,0.7680344001511588,0.2829954311139956,one_point,2,0.01588392312852922,14.045494658932313,0.299873350137673,76.26214632805726
866,30.232796475062894,2,26,0.8275569377504195,0.2743408124976995,one_point,2,0.0035556340567328565,36.288872219683746,0.2998733459333882,54.10964385957154
