1,125.541,2,4,2,0.871,0.17,2,,,,,,k,n_elites,,,,,,,id,val,cr_type,k,n_elites,p_max,p_min,pop_size
138,80.924,0,6,3,0.844,0.108,3,,,137,143.526,one_point,6,6,0.844,0.281,22,,,,427,82.324,two_point,5,6,0.848,0.237,28
139,22639.018,0,5,0,0.844,0.279,3,,,138,80.924,one_point,6,6,0.844,0.108,26,,,,178,82.403,one_point,5,6,0.863,0.163,24
140,121.362,0,5,2,0.843,0.289,3,,,139,22639.018,one_point,5,0,0.844,0.279,26,,,,49,82.425,one_point,5,6,0.866,0.193,24
141,120.09,0,5,2,0.873,0.289,2,,,140,121.362,one_point,5,4,0.843,0.289,26,,,,548,82.463,uniform,4,6,0.841,0.116,28
142,118.545,0,6,2,0.838,0.111,3,,,141,120.09,one_point,5,4,0.873,0.289,24,,,,934,82.465,one_point,5,6,0.869,0.196,24
143,108.912,0,6,2,0.833,0.113,3,,,142,118.545,one_point,6,4,0.838,0.111,26,,,,1055,82.533,one_point,5,6,0.87,0.175,24
144,94.67,0,6,3,0.836,0.114,3,,,143,108.912,one_point,6,4,0.833,0.113,26,,,,1156,82.689,two_point,5,6,0.844,0.208,22
145,114.997,0,6,3,0.84,0.206,3,,,144,94.67,one_point,6,6,0.836,0.114,26,,,,908,82.782,one_point,5,6,0.808,0.1,26
146,84.492,0,6,3,0.852,0.109,3,,,145,114.997,one_point,6,6,0.84,0.206,26,,,,824,82.822,one_point,5,6,0.938,0.218,26
147,90.878,0,6,3,0.856,0.115,3,,,146,84.492,one_point,6,6,0.852,0.109,26,,,,939,82.87,one_point,5,6,0.871,0.195,24
148,125.021,0,6,3,0.856,0.112,3,,,147,90.878,one_point,6,6,0.856,0.115,26,,,,154,82.891,one_point,6,6,0.85,0.109,20
149,102.243,0,6,3,0.856,0.147,3,,,148,125.021,one_point,6,6,0.856,0.112,26,,,,495,82.919,one_point,5,6,0.833,0.131,24
150,103.477,0,5,3,0.865,0.129,2,,,149,102.243,one_point,6,6,0.856,0.147,26,,,,598,83.088,two_point,5,6,0.832,0.103,24
151,155.937,0,6,3,0.856,0.128,3,,,150,103.477,one_point,5,6,0.865,0.129,24,,,,1162,83.15,two_point,5,6,0.837,0.104,22
152,68.087,0,6,3,0.852,0.106,3,,,151,155.937,one_point,6,6,0.856,0.128,26,,,,853,83.2,one_point,5,6,0.929,0.213,26
153,117.58,0,6,3,0.852,0.105,0,,,152,68.087,one_point,6,6,0.852,0.106,26,,,,1116,83.223,two_point,5,6,0.94,0.206,26
154,82.891,0,6,3,0.85,0.109,0,,,153,117.58,one_point,6,6,0.852,0.105,20,,,,454,83.225,two_point,5,6,0.833,0.127,28
155,132.779,0,6,3,0.852,0.105,0,,,154,82.891,one_point,6,6,0.85,0.109,20,,,,254,83.297,one_point,3,6,0.851,0.286,28
156,153.584,0,6,3,0.849,0.108,3,,,155,132.779,one_point,6,6,0.852,0.105,20,,,,310,83.349,one_point,4,6,0.831,0.197,26
157,118.075,0,6,3,0.845,0.118,3,,,156,153.584,one_point,6,6,0.849,0.108,26,,,,1004,83.397,one_point,5,6,0.848,0.202,24
158,120.98,0,6,3,0.849,0.107,3,,,157,118.075,one_point,6,6,0.845,0.118,26,,,,673,83.417,two_point,5,6,0.855,0.121,24
159,117.317,0,6,3,0.849,0.108,3,,,158,120.98,one_point,6,6,0.849,0.107,26,,,,877,83.592,one_point,5,6,0.946,0.185,26
160,141.878,0,6,3,0.848,0.107,3,,,159,117.317,one_point,6,6,0.849,0.108,26,,,,1231,83.678,one_point,5,6,0.883,0.106,28
161,92.719,0,6,3,0.849,0.109,3,,,160,141.878,one_point,6,6,0.848,0.107,26,,,,928,83.862,one_point,5,6,0.843,0.198,26
162,113.037,0,6,3,0.848,0.106,3,,,161,92.719,one_point,6,6,0.849,0.109,26,,,,1319,83.905,one_point,5,6,0.943,0.106,26
163,12898.221,0,6,0,0.865,0.101,4,,,162,113.037,one_point,6,6,0.848,0.106,26,,,,780,83.931,one_point,5,6,0.939,0.108,26
164,100.622,0,6,3,0.867,0.118,4,,,163,12898.221,one_point,6,0,0.865,0.101,28,,,,1281,84.052,one_point,5,6,0.931,0.112,28
165,12001.06,0,6,0,0.885,0.101,4,,,164,100.622,one_point,6,6,0.867,0.118,28,,,,1376,84.078,one_point,5,6,0.908,0.154,22
166,99.724,0,3,3,0.868,0.1,0,,,165,12001.06,one_point,6,0,0.885,0.101,28,,,,96,84.103,one_point,6,6,0.869,0.267,22
167,152.686,0,3,3,0.853,0.1,0,,,166,99.724,one_point,3,6,0.868,0.1,20,,,,658,84.217,uniform,5,6,0.844,0.101,20
168,123.288,0,6,3,0.867,0.1,0,,,167,152.686,one_point,3,6,0.853,0.1,20,,,,556,84.246,uniform,5,6,0.828,0.121,28
169,149.757,0,3,3,0.853,0.1,0,,,168,123.288,one_point,6,6,0.867,0.1,20,,,,1001,84.247,one_point,5,6,0.938,0.104,24
170,101.704,0,5,3,0.845,0.213,0,,,169,149.757,one_point,3,6,0.853,0.1,20,,,,314,84.258,one_point,6,6,0.878,0.25,28
