number,value,crossover_type,k,n_elites,p_crossover_max,p_crossover_min,pop_size,rosenbrock_mean,salomon_mean,whitley_mean
139,26.744853475536605,uniform,6,6,0.8790666410377609,0.11248394915198665,20,31.477509633654307,0.33987334604894404,48.417177446906564
417,26.762289177045506,uniform,3,6,0.8478054915145357,0.24899276060495418,28,14.515586876117482,0.33987334633485167,65.43140730868419
477,26.770357565256663,two_point,4,2,0.9030247771267068,0.25731485005141413,28,13.781218051259492,0.2798733460122785,66.24998129849823
685,26.771466893207432,one_point,4,2,0.842211790122886,0.24598246627635256,30,13.938432290897657,0.25987334681297786,66.11609504191166
953,26.83023710002853,two_point,3,2,0.8246808457720293,0.26670280901553706,30,13.933094214769593,0.25987334803612855,66.29774373727987
706,26.90210998085615,uniform,3,2,0.8366857518618913,0.250104240326939,28,13.53718232015419,0.27987334628249594,66.88927427613176
1368,26.966867115070823,one_point,4,2,0.8913872215621406,0.23619048580209412,30,32.442509301454436,0.23987334603357247,48.21821869772445
1763,26.98628950076926,one_point,3,4,0.9042213260059687,0.10395840561595637,26,32.37445361100133,0.29987334643519,48.28454154487126
1766,27.019079221157952,one_point,3,4,0.8935849586265818,0.10415535804285485,26,13.82058869863786,0.33987334643999495,66.896775618396
1017,27.025444773895458,uniform,3,2,0.8394421791161565,0.25969654596939085,30,13.389420025043105,0.25987334768521053,67.42704094895807
1896,27.19706453508367,two_point,5,4,0.8728030115095018,0.10599109846178698,30,13.640332083649813,0.3198733459338163,67.63098817566738
899,27.20964452499801,two_point,4,2,0.8285922996161479,0.20389436243182837,26,25.06146324097953,0.23987334626673884,56.32759698774775
1404,27.21037624956978,one_point,3,4,0.8798634246425483,0.2185019118245586,30,17.5069787056202,0.2798733490472332,63.84427669404191
1272,27.24738484525979,one_point,5,2,0.9236320468661716,0.29999640993868637,30,17.95643227899759,0.31987334597857303,63.46584891080322
1792,27.24755240371677,two_point,3,2,0.8910109406714091,0.2335808586874481,30,25.494184932619692,0.27987334670368413,55.968598931826946
1663,27.253316099307387,one_point,3,2,0.8115318399543593,0.24689172390412575,22,13.668829793780017,0.2798733459130928,67.81124515822906
1815,27.258340553362828,one_point,3,2,0.888954774690533,0.23161762814255743,30,23.959062226845653,0.27987334601314373,57.53608608722969
1360,27.342943284313275,one_point,4,4,0.8914930197287798,0.2272029245544309,30,13.73631440370336,0.3398733461219525,67.95264210311451
374,27.429071677189665,uniform,3,2,0.8934266523417189,0.2640626399497831,26,13.498199160358558,0.3198733465805751,68.46914252462986
1575,27.451502574097077,one_point,3,2,0.876292113326743,0.23292212290576103,22,13.95465705345597,0.2998733459961585,68.09997732283911
864,27.524794263441677,two_point,3,2,0.9110201253509893,0.22589701268102264,30,13.233053183717114,0.31987334657568,69.02145626003224
1472,27.528288633775038,one_point,3,2,0.8700217615030672,0.24470564441886478,30,25.393258120096267,0.25987334787665944,56.93173443335219
1541,27.61808814008354,one_point,3,2,0.8885173957233525,0.24838203325514832,20,27.855147213681924,0.23987334607203725,54.75924386049665
619,27.618957983284435,two_point,3,2,0.8909990629910842,0.20217121078770167,22,13.823736110571549,0.29987334639794866,68.73326449288382
1034,27.63141898033797,two_point,3,2,0.8319253359477886,0.2522068040617276,28,32.12248100860462,0.299873346050695,50.47190258635858
